Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
904,837,818,600,996,734,1028,1011,927,791,848,885,802,903,895,643,738,731,2011
404,406,553,331,437,411,528,466,375,327,383,388,358,401,424,319,407,355,2011
903,782,799,578,858,625,1019,875,727,591,740,748,717,856,991,656,672,650,2011
1465,1436,1529,1278,1274,1278,1734,1538,1419,1143,917,1378,1347,1302,1424,1156,1436,1520,2011
2882,2295,2436,2412,3208,2419,2991,3860,2859,2507,1575,3045,3155,3189,3959,2712,3156,2645,2011
439,445,723,397,522,492,736,740,372,431,228,383,430,611,699,660,726,548,2011
20520,16267,17586,14653,23154,19810,21053,25590,20695,18448,15911,18241,18287,20435,26990,21639,21557,16641,2011
2056,1448,1665,1657,2596,1771,1877,2775,1719,1644,897,2260,2218,2234,2123,1871,1920,2348,2011
8342,8790,8808,7815,7843,7337,9127,10889,6606,7998,6039,9314,9146,8784,9348,7900,9485,8372,2011
4085,3178,4008,2849,3089,3086,4107,4306,3283,2724,1872,3464,3224,2475,3759,2668,3681,2566,2011
3100,2673,3158,2671,2512,2385,3688,3710,2876,2281,1404,2675,2642,2343,3328,2385,3848,3692,2011
726,580,676,626,679,600,734,1049,646,647,542,827,784,712,789,664,852,510,2011
123,121,141,103,113,136,166,196,110,76,23,103,132,95,186,87,183,94,2011
1776,1474,1578,1227,1654,1457,2542,1300,2173,1064,526,632,1130,1388,1985,667,1552,407,2011
263,410,288,334,249,282,479,232,260,167,197,420,365,160,180,176,322,454,2011
794,1359,727,692,763,1260,1267,1184,456,724,430,582,1125,731,1307,618,1117,942,2011
1595,1646,1738,1769,1473,1268,2672,2130,1679,1624,765,1949,2320,1308,2476,1320,2292,1621,2011
6602,5747,6592,5309,6155,5105,8276,10004,7567,6067,4585,6783,6000,5896,10181,6517,7285,5034,2011
