Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
973,901,817,884,988,1045,1122,1043,778,839,931,902,817,992,958,772,985,913,2013
427,423,458,406,442,489,572,478,328,330,363,394,364,470,460,408,462,477,2013
938,844,704,668,855,844,1143,940,671,815,709,657,740,951,1001,794,1019,789,2013
1598,1748,1608,1311,1236,1433,1913,1589,1268,1323,977,1447,1562,1472,1546,1410,1711,1630,2013
2772,2735,3386,2563,3114,3195,3131,4123,3232,2548,2216,3249,3180,3056,3850,3059,3462,2998,2013
436,482,674,411,498,644,764,681,519,401,264,505,519,478,698,625,668,577,2013
20527,16130,21315,15644,24187,19740,21384,28416,20165,16975,16212,19033,19747,21353,25366,23009,21294,18864,2013
2084,1566,1861,1498,2254,2207,1904,2454,1944,1856,1219,2405,1776,2053,2392,2203,2273,1803,2013
9026,10623,12222,8977,8235,8595,10219,13450,9589,8682,6573,10196,12560,8599,9675,9502,9975,10240,2013
3982,3675,4754,3251,3585,3597,4518,4450,3722,3147,2204,3744,3174,2859,4312,3781,3964,3312,2013
2644,2767,3728,2378,2529,2874,3438,3513,3103,2204,1352,3032,3012,2504,3255,2720,3543,3119,2013
650,697,847,564,704,699,729,901,875,615,666,743,828,753,835,701,778,745,2013
114,137,205,84,102,123,162,211,154,78,48,87,93,86,175,160,190,114,2013
2150,1136,1536,1116,2280,1357,1921,2160,2131,1642,586,883,954,1594,2062,1064,1838,286,2013
237,435,324,286,248,329,426,300,170,175,162,296,311,163,201,286,310,271,2013
801,983,1103,593,710,624,1137,1371,872,514,446,632,858,767,1321,984,847,678,2013
1781,2262,3059,2046,1543,1654,2417,2751,2263,1932,446,1755,1988,1251,3169,1748,2729,1425,2013
6114,5674,7496,6242,6690,5659,7925,11030,9700,6187,4731,6338,6747,5881,8945,6581,7085,5377,2013
