Item,Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
"Meats, poultry, fish, and eggs",932,871,703,934,955,734,887,864,820,662,949,774,802,1026,1009,630,761,873,2007
Dairy products,406,420,475,320,396,343,423,407,338,281,443,381,355,416,466,286,390,445,2007
Fruits and vegetables,713,635,731,531,743,559,657,780,573,518,854,605,607,879,888,510,619,676,2007
Other food at home,1457,1381,1419,1125,1199,984,1374,1244,1217,1042,1107,1304,1264,1442,1454,1061,1398,1542,2007
Food away from home,3156,2663,3003,2183,3202,2571,2807,3786,2836,2775,1898,2662,3099,3528,3994,2493,2871,3112,2007
Alcoholic beverages,801,495,928,401,533,451,565,650,479,345,276,381,603,543,888,520,570,645,2007
Housing,20238,15995,20819,16602,22295,18411,20174,25525,19123,17716,18708,18169,17752,22336,27310,22670,20671,18591,2007
Apparel and services,3019,1848,2193,2241,2619,2041,2093,2440,1755,1792,1269,1907,2345,2383,2587,2292,2080,2442,2007
Transportation,8846,8743,8694,8371,8048,7345,8707,9531,8673,8053,7938,10764,11119,10141,10792,7258,10047,12424,2007
Healthcare,3020,2307,3705,3293,2674,2175,2809,2641,2431,2355,2167,2967,3293,2324,3224,2613,3127,3058,2007
Entertainment,2740,2441,3952,2250,2600,2327,3352,2995,2726,2130,1583,2515,2789,2790,3397,2938,3542,3068,2007
Personal care products and services,662,570,647,571,685,602,546,682,565,513,641,747,782,776,827,691,663,708,2007
Reading,130,113,156,154,118,109,177,130,84,75,42,101,89,126,201,103,196,119,2007
Education,1644,1325,1079,1010,1420,1228,1381,1664,1771,420,1054,739,918,1298,1080,677,944,628,2007
Tobacco products and smoking supplies,291,445,320,398,221,406,350,237,229,202,197,265,299,199,148,95,309,349,2007
Miscellaneous,837,985,1149,815,1006,689,736,1234,908,635,770,765,761,1141,1190,890,1101,897,2007
Cash contributions,1633,1500,2953,1557,1517,1486,1235,2168,1891,1281,1421,2223,1821,2652,1768,1941,3147,1886,2007
Personal insurance and pensions,6241,5031,6615,4713,5924,5778,6365,8463,6387,5542,4407,6632,6264,6439,7779,6648,6501,5687,2007
