Cereals-and-bakery-products,"Meats,-poultry,-fish,-and-eggs",Dairy-and-related-products,Fruits-and-vegetables,Other-food-at-home,Date
106.4,101.3,103.5,106.8,104.8,1985-01-01
106.8,101.4,103.7,110.9,105.3,1985-02-01
107.0,101.1,103.5,110.6,105.5,1985-03-01
107.2,100.1,103.3,110.9,105.6,1985-04-01
107.5,98.7,103.3,110.0,105.8,1985-05-01
108.0,98.7,103.1,109.5,105.6,1985-06-01
108.0,99.0,103.1,109.5,105.6,1985-07-01
108.4,98.7,102.9,108.6,105.9,1985-08-01
108.7,99.0,103.2,106.5,106.2,1985-09-01
108.6,99.2,102.8,105.6,106.3,1985-10-01
108.9,101.1,102.8,104.7,106.0,1985-11-01
109.6,102.5,102.7,107.8,105.8,1985-12-01
109.6,103.2,102.9,111.3,107.1,1986-01-01
109.8,102.0,102.9,106.8,109.8,1986-02-01
109.9,101.7,102.7,106.3,110.0,1986-03-01
109.8,100.4,102.7,109.7,110.1,1986-04-01
